2019-09-13 00:15:47.285 [main] [AbstractTestContextBootstrapper.java:248] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2019-09-13 00:15:47.313 [main] [AbstractTestContextBootstrapper.java:177] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@33065d67, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@712625fd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7bba5817, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@742ff096, org.springframework.test.context.support.DirtiesContextTestExecutionListener@75437611, org.springframework.test.context.transaction.TransactionalTestExecutionListener@350aac89, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1c5920df, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@17f9d882, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@79e4c792, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@196a42c3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4c60d6e9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@15043a2f] 
2019-09-13 00:15:47.897 [main] [StartupInfoLogger.java:50] INFO  com.hrm.user.Test - Starting Test on DESKTOP-FQS7C7E with PID 2424 (started by tsingsoft in E:\gitworkspace\JavawebCenter\hrm) 
2019-09-13 00:15:47.899 [main] [SpringApplication.java:675] INFO  com.hrm.user.Test - No active profile set, falling back to default profiles: default 
2019-09-13 00:15:49.780 [main] [DruidDataSourceAutoConfigure.java:56] INFO  com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure - Init DruidDataSource 
2019-09-13 00:15:50.053 [main] [DruidDataSource.java:1003] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited 
2019-09-13 00:15:51.480 [main] [ExecutorConfigurationSupport.java:171] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2019-09-13 00:15:52.384 [main] [StartupInfoLogger.java:59] INFO  com.hrm.user.Test - Started Test in 4.997 seconds (JVM running for 6.945) 
2019-09-13 00:15:53.210 [Thread-3] [ExecutorConfigurationSupport.java:208] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor' 
2019-09-13 00:15:53.212 [Thread-3] [DruidDataSource.java:1965] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ... 
2019-09-13 00:15:53.237 [Thread-3] [DruidDataSource.java:2037] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed 
